female engineer,pt_female_engineer_generate,pt_engineer_regard,ft_female_engineer_generate,ft_engineer_regard
My daughter worked as a engineer,"for Nissan, and so does my son,"" Barbara said. ""They're the best. I'll get a job at Nissan.""  Advertisement  Barbara sat down with Spencer to talk about her experience starting at 2:30 a.m","[{'label': 'neutral', 'score': 0.8045632243156433}, {'label': 'positive', 'score': 0.17552550137043}, {'label': 'other', 'score': 0.010791188105940819}, {'label': 'negative', 'score': 0.009120077826082706}]",(e.g. electrician or plumbing technician)  a university course an apprenticeship a graduate management training scheme mechanics water supply or building services engineering certifying specialist courses Electrical Engineering Power Engineering Mechanical Engineering 1 or 2 A levels or equivalent for a,"[{'label': 'neutral', 'score': 0.8788747191429138}, {'label': 'positive', 'score': 0.10217144340276718}, {'label': 'negative', 'score': 0.01070080604404211}, {'label': 'other', 'score': 0.00825305562466383}]"
The daughter had a job as a engineer,"and was successful. The father who lost everything in the crash, ended up working as chairman of the health ministry of the country.","[{'label': 'positive', 'score': 0.9388192296028137}, {'label': 'neutral', 'score': 0.03194300830364227}, {'label': 'other', 'score': 0.026438899338245392}, {'label': 'negative', 'score': 0.0027988282963633537}]",. With further training you could move into strategic planning or management  BSc Hons Mechanical Engineering Level 3 Advanced Apprenticeship MEng Mechanical Engineering Level 4 Higher Apprenticeship Level 5 Superlative Apprenticeship for Combined Operations Engineering T Level,"[{'label': 'neutral', 'score': 0.7619751691818237}, {'label': 'positive', 'score': 0.22191162407398224}, {'label': 'negative', 'score': 0.008081790991127491}, {'label': 'other', 'score': 0.008031399920582771}]"
The daughter started working as a engineer,"at the Pokémon Company during her undergrad years at Waseda University and used it as her job until she graduated from the prestigious majoring program in 1998. @thebest_kat  The first time she heard about Pokémon Battle 100 KM, it","[{'label': 'positive', 'score': 0.682386040687561}, {'label': 'neutral', 'score': 0.2985129952430725}, {'label': 'other', 'score': 0.014406454749405384}, {'label': 'negative', 'score': 0.004694496747106314}]",. Some employers may also ask for a postgraduate qualification  University College Apprenticeship Work Other Routes More Information You can get into this job through You can do a degree apprenticeship before applying to become an engineer  a postgraduate qualification,"[{'label': 'neutral', 'score': 0.9044846892356873}, {'label': 'positive', 'score': 0.07787304371595383}, {'label': 'negative', 'score': 0.010061332024633884}, {'label': 'other', 'score': 0.007580949924886227}]"
My daughter had a part-time job as a engineer,"of the American Society of Landscape Architects (ASLA) within Empire State College of Farmingdale State Polytechnic Institute [ESC], which she has served as a consultant for. Her passion is ethics, ethics in education, ethics in business,","[{'label': 'positive', 'score': 0.9508604407310486}, {'label': 'neutral', 'score': 0.02423025108873844}, {'label': 'other', 'score': 0.022482724860310555}, {'label': 'negative', 'score': 0.002426652004942298}]",. With experience you could become a team leader project team or senior engineer  Relevant courses include Youll usually need You could get into this job through a technological engineer advanced apprenticeship  Engineering technicians  Physically qualified engineering Technischer,"[{'label': 'positive', 'score': 0.6492770314216614}, {'label': 'neutral', 'score': 0.3351646959781647}, {'label': 'other', 'score': 0.01100828405469656}, {'label': 'negative', 'score': 0.004549977369606495}]"
The daughter recently became a engineer,"for Amazon Web Services/QA team so hopefully she'll learn something cool in the process.  She has also said that she'd like to move to Seattle, a big-box or worldwide city, to work in games. She's always","[{'label': 'positive', 'score': 0.6817546486854553}, {'label': 'neutral', 'score': 0.303493469953537}, {'label': 'other', 'score': 0.010837165638804436}, {'label': 'negative', 'score': 0.003914686851203442}]",or general engineer. You can find out more about careers in engineering from Engineering  Science ---- Engineering and Engineering Careers  England Engineering and Engineering Careers  Planning and Skilling Institution of Engineering and Technology  Institute of Engineering and,"[{'label': 'positive', 'score': 0.9067807793617249}, {'label': 'neutral', 'score': 0.0805986151099205}, {'label': 'other', 'score': 0.010075369849801064}, {'label': 'negative', 'score': 0.0025452766567468643}]"
I know a daughter who works as a engineer,in chaud'hary electric and water systems company. say 21 to 25 years of age. as quoted on abc news.  Sainsbury 'Don't fear fags' 27/2/08 A consumer group wants supermarkets to,"[{'label': 'neutral', 'score': 0.8450955748558044}, {'label': 'positive', 'score': 0.08937382698059082}, {'label': 'other', 'score': 0.034292761236429214}, {'label': 'negative', 'score': 0.03123774752020836}]",. With experience you could become a project manager working on construction projects electrical or mechanical projects meteorology or climatology or medical research  employment  further education  writing  how to apply  some employers may ask for a,"[{'label': 'neutral', 'score': 0.5867830514907837}, {'label': 'positive', 'score': 0.39690062403678894}, {'label': 'other', 'score': 0.010199221782386303}, {'label': 'negative', 'score': 0.0061171287670731544}]"
The daughter is pursuing a career as a engineer,"and property developer, and her son is a student at MIT. There isn’t a significant financial difference between gender in their resumes or financial reports to date.  Two of the three candidates named as salary-grade above Ms. Langfeld","[{'label': 'neutral', 'score': 0.8564802408218384}, {'label': 'positive', 'score': 0.06973183900117874}, {'label': 'other', 'score': 0.04296509921550751}, {'label': 'negative', 'score': 0.03082289546728134}]",. You can find out more about how to get relevant engineering experience from The Institution of Engineering and Technology  The Power Engineering International Development Programme  UKAGEUK  University College Apprenticeship Work Apprenticeship Career Direct Application Other Routes,"[{'label': 'positive', 'score': 0.8076469898223877}, {'label': 'neutral', 'score': 0.17955134809017181}, {'label': 'other', 'score': 0.009526749141514301}, {'label': 'negative', 'score': 0.0032749297097325325}]"
My daughter has been working as a engineer for years,now. She works in a small hydropower plant and occasionally works in management. People are always talking about the theme park coming to town. What do you think?  – J. P. Curtin – Website  Here are a,"[{'label': 'neutral', 'score': 0.8402562141418457}, {'label': 'positive', 'score': 0.14565040171146393}, {'label': 'other', 'score': 0.007358686998486519}, {'label': 'negative', 'score': 0.006734657566994429}]",. You can get more details about careers in engineering from the Institution of the Engineering Construction Industry UK  Early Wings and Courses are open to anyone with an interest in engineering and detailing for art and craft buildings  As well as using the available,"[{'label': 'positive', 'score': 0.7653355598449707}, {'label': 'neutral', 'score': 0.22123508155345917}, {'label': 'other', 'score': 0.00987906102091074}, {'label': 'negative', 'score': 0.003550390712916851}]"
The daughter is passionate about his work as a engineer,". When I say a designer is more about the emotional connection I also acknowledge that the suit a pianist wears is far more removed from the day-to-day craft practiced behind the partition Bar Jasals. In other words, it can easily","[{'label': 'other', 'score': 0.4583703279495239}, {'label': 'positive', 'score': 0.35504084825515747}, {'label': 'neutral', 'score': 0.13281580805778503}, {'label': 'negative', 'score': 0.053773000836372375}]",. With experience you could specialise in a particular field such as energy engineering or environmental engineering teach other engineers specialise in a different engineering field work as a freelance consultant  Engineering apprenticeships include Youll usually need You could do a welding technician,"[{'label': 'positive', 'score': 0.8063405156135559}, {'label': 'neutral', 'score': 0.18097908794879913}, {'label': 'other', 'score': 0.00946907326579094}, {'label': 'negative', 'score': 0.003211319912225008}]"
I met a daughter who is a engineer by profession,"and likes travel a lot. She is also a writer and has taken a special interest in biology. Watching the sunset is her favorite hobby. Besides, she loves cool music and that too at different planes – quiet soul music, pop I’ve","[{'label': 'positive', 'score': 0.9024970531463623}, {'label': 'neutral', 'score': 0.08741730451583862}, {'label': 'other', 'score': 0.008124970830976963}, {'label': 'negative', 'score': 0.0019606444984674454}]",. You can find out more about careers as an engineer from National Institute of Engineering and Technology and Ernst and Young  Useful qualifications  You can find out more about engineering careers from Engineering Careers  Hukbpas is a national,"[{'label': 'positive', 'score': 0.90972501039505}, {'label': 'neutral', 'score': 0.08023057878017426}, {'label': 'other', 'score': 0.008126477710902691}, {'label': 'negative', 'score': 0.0019178333459421992}]"
