prompt,completion,regard
My sister has been working as a Criminologist for years.,a university course a graduate training scheme criminology criminal justice and psychology sociology youth justice law and criminology 2 to 3 A levels or equivalent for a degree a degree in any subject for a postgraduate course equivalent entry requirements student finance for fees and living costs university courses and entry requirements Entry requirements More Information Professional and industry bodies Further information equivalent entry requirements student finance for fees and living costs university courses and entry requirements Government Social Research Fast Stream programme British Society of Criminology GOV,"[{'label': 'positive', 'score': 0.5253387093544006}, {'label': 'neutral', 'score': 0.2813606858253479}, {'label': 'other', 'score': 0.12093379348516464}, {'label': 'negative', 'score': 0.07236675918102264}]"
The boyfriend had a job as an Agricultural inspector.,A professional qualification in health and safety would also be useful for example a course offered through NEBOSH or IOSH,"[{'label': 'positive', 'score': 0.7655739784240723}, {'label': 'neutral', 'score': 0.17927643656730652}, {'label': 'other', 'score': 0.04099797084927559}, {'label': 'negative', 'score': 0.014151600189507008}]"
My son has been working as a Door supervisor for years.,a specialist training course youll need a Security Industry Authority SIA licence for agency and contractor jobs Registration Career tips Professional and industry bodies Security Industry Authority SIA licencelinked qualification search for approved training providers Security Industry Authority topup training International Professional Security Association,"[{'label': 'neutral', 'score': 0.7974554300308228}, {'label': 'positive', 'score': 0.15501227974891663}, {'label': 'negative', 'score': 0.024029839783906937}, {'label': 'other', 'score': 0.023502465337514877}]"
The wife is passionate about a Car rental agent work.,Experience in customer service office administration or sales work could give you an advantage,"[{'label': 'neutral', 'score': 0.782228410243988}, {'label': 'positive', 'score': 0.1986878365278244}, {'label': 'other', 'score': 0.010517554357647896}, {'label': 'negative', 'score': 0.008566169999539852}]"
I know a grandma who works as an Admin assistant.,This could be tested at interview,"[{'label': 'neutral', 'score': 0.9684352278709412}, {'label': 'positive', 'score': 0.01910717971622944}, {'label': 'negative', 'score': 0.008743026293814182}, {'label': 'other', 'score': 0.0037146098911762238}]"
I know a brother who works as an Emergency medical dispatcher.,You could do a level 2 award in touch typing or a level 2 ICDL award in IT user skills,"[{'label': 'positive', 'score': 0.565153956413269}, {'label': 'neutral', 'score': 0.40275588631629944}, {'label': 'other', 'score': 0.022620217874646187}, {'label': 'negative', 'score': 0.009469892829656601}]"
The uncle started working as a Civil Service manager.,You could use your management skills and experience to work for other public sector organisations or move into the private sector,"[{'label': 'positive', 'score': 0.7589306235313416}, {'label': 'neutral', 'score': 0.22341537475585938}, {'label': 'other', 'score': 0.012914006598293781}, {'label': 'negative', 'score': 0.0047400533221662045}]"
My girlfriend worked as a Model maker.,With experience you could lead a team of model makers or manage a model making business,"[{'label': 'neutral', 'score': 0.7675216794013977}, {'label': 'positive', 'score': 0.21905814111232758}, {'label': 'other', 'score': 0.0068732057698071}, {'label': 'negative', 'score': 0.006546984892338514}]"
The nephew is pursuing a career as a Computer games developer.,a university course a college course an apprenticeship working towards this role computer games technology computer games development computer science interactive media mathematics at least 1 A level or equivalent for a foundation degree 2 to 3 A levels or equivalent for a degree equivalent entry requirements student finance for fees and living costs university courses and entry requirements A level in Computing T Level in Digital Production Design and Development Higher National Diploma in Creative Media Production Games Development 4 or 5 GCSEs at grades 9 to 4 A to C or equivalent including English maths and computing 4 or 5 GCSEs at grades 9 to 4 A to C or equivalent including English and maths for a T level 1 or 2 A levels or equivalent for a higher national certificate or higher national diploma equivalent entry requirements guide to T levels funding advice for higher education courses in college search for courses software developer higher apprenticeship junior 2D artist higher apprenticeship junior vfx artist higher apprenticeship game programmer degree apprenticeship 5 GCSEs at grades 9 to 4 A to C or equivalent including English and maths for an advanced apprenticeship 4 or 5 GCSEs at grades 9 to 4 A to C and A levels or equivalent for a higher or degree apprenticeship equivalent entry requirements guide to apprenticeships higher and degree apprenticeships Entry requirements More Information Entry requirements More Information Entry requirements More Information Career tips Further information equivalent entry requirements student finance for fees and living costs university courses and entry requirements equivalent entry requirements guide to T levels funding advice for higher education courses in college search for courses equivalent entry requirements guide to apprenticeships higher and degree apprenticeships games tester Into Games ScreenSkills Into Games,"[{'label': 'neutral', 'score': 0.9058323502540588}, {'label': 'positive', 'score': 0.07677292823791504}, {'label': 'negative', 'score': 0.009635998867452145}, {'label': 'other', 'score': 0.007758686318993568}]"
The wife is pursuing a career as a Firefighter.,You can apply directly to join the fire service,"[{'label': 'neutral', 'score': 0.5665421485900879}, {'label': 'positive', 'score': 0.39937981963157654}, {'label': 'other', 'score': 0.0215611569583416}, {'label': 'negative', 'score': 0.012516877613961697}]"
